id,town,rate2040,rate2013
13116,豊島区,0.00 ,0.00 
13117,北区,2.63 ,0.00 
13118,荒川区,0.00 ,0.00 
13119,板橋区,0.00 ,0.00 
13120,練馬区,0.00 ,0.00 
13121,足立区,0.00 ,0.00 
13122,葛飾区,0.00 ,0.00 
13123,江戸川区,0.00 ,0.00 
13201,八王子市,1.43 ,1.43 
13202,立川市,0.00 ,0.00 
13203,武蔵野市,0.00 ,0.00 
13204,三鷹市,0.00 ,0.00 
13205,青梅市,5.88 ,5.88 
13206,府中市,0.00 ,0.00 
13207,昭島市,0.00 ,0.00 
13208,調布市,0.00 ,0.00 
13209,町田市,0.00 ,0.00 
13210,小金井市,0.00 ,0.00 
13211,小平市,0.00 ,0.00 
13212,日野市,0.00 ,0.00 
13213,東村山市,0.00 ,0.00 
13214,国分寺市,0.00 ,0.00 
13215,国立市,0.00 ,0.00 
13218,福生市,0.00 ,0.00 
13219,狛江市,0.00 ,0.00 
13220,東大和市,0.00 ,0.00 
13221,清瀬市,0.00 ,0.00 
13222,東久留米市,0.00 ,0.00 
13223,武蔵村山市,0.00 ,0.00 
13224,多摩市,0.00 ,0.00 
13225,稲城市,0.00 ,0.00 
13227,羽村市,0.00 ,0.00 
13228,あきる野市,0.00 ,0.00 
13229,西東京市,0.00 ,0.00 
13303,西多摩郡瑞穂町,0.00 ,0.00 
13305,西多摩郡日の出町,0.00 ,0.00 
13307,西多摩郡檜原村,100.00 ,0.00 
13308,西多摩郡奥多摩町,100.00 ,0.00 
13361,大島町,0.00 ,0.00 
13362,利島村,100.00 ,100.00 
13363,新島村,50.00 ,50.00 
13364,神津島村,0.00 ,0.00 
13381,三宅村,0.00 ,0.00 
13382,御蔵島村,100.00 ,100.00 
13401,八丈町,0.00 ,0.00 
13402,青ヶ島村,100.00 ,100.00 
13421,小笠原村,50.00 ,50.00 
14118,横浜市,0.29 ,0.29 
14137,川崎市,0.00 ,0.00 
14153,相模原市,4.17 ,1.39 
14201,横須賀市,0.00 ,0.00 
14203,平塚市,0.00 ,0.00 
14204,鎌倉市,0.00 ,0.00 
14205,藤沢市,0.00 ,0.00 
14206,小田原市,0.00 ,0.00 
14207,茅ヶ崎市,0.00 ,0.00 
14208,逗子市,0.00 ,0.00 
14210,三浦市,0.00 ,0.00 
14211,秦野市,0.00 ,0.00 
14212,厚木市,0.00 ,0.00 
14213,大和市,0.00 ,0.00 
14214,伊勢原市,10.00 ,0.00 
14215,海老名市,0.00 ,0.00 
14216,座間市,0.00 ,0.00 
14217,南足柄市,16.67 ,0.00 
14218,綾瀬市,0.00 ,0.00 
14301,三浦郡葉山町,0.00 ,0.00 
14321,高座郡寒川町,0.00 ,0.00 
14341,中郡大磯町,33.33 ,33.33 
14342,中郡二宮町,0.00 ,0.00 
14361,足柄上郡中井町,0.00 ,0.00 
14362,足柄上郡大井町,0.00 ,0.00 
14363,足柄上郡松田町,50.00 ,0.00 
14364,足柄上郡山北町,66.67 ,33.33 
14366,足柄上郡開成町,0.00 ,0.00 
14382,足柄下郡箱根町,0.00 ,0.00 
14383,足柄下郡真鶴町,0.00 ,0.00 
14384,足柄下郡湯河原町,0.00 ,0.00 
14401,愛甲郡愛川町,0.00 ,0.00 
14402,愛甲郡清川村,50.00 ,50.00 
15108,新潟市,1.75 ,0.88 
15202,長岡市,11.67 ,6.67 
15204,三条市,4.17 ,4.17 
15205,柏崎市,20.00 ,0.00 
15206,新発田市,8.33 ,4.17 
15208,小千谷市,12.50 ,12.50 
15209,加茂市,14.29 ,0.00 
15210,十日町市,31.82 ,18.18 
15211,見附市,25.00 ,12.50 
15212,村上市,5.00 ,5.00 
15213,燕市,0.00 ,0.00 
15216,糸魚川市,35.29 ,29.41 
15217,妙高市,10.00 ,0.00 
15218,五泉市,0.00 ,0.00 
15222,上越市,5.77 ,0.00 
15223,阿賀野市,0.00 ,0.00 
15224,佐渡市,33.33 ,12.50 
15225,魚沼市,0.00 ,0.00 
15226,南魚沼市,10.53 ,10.53 
15227,胎内市,0.00 ,0.00 
15307,北蒲原郡聖籠町,0.00 ,0.00 
15342,西蒲原郡弥彦村,0.00 ,0.00 
15361,南蒲原郡田上町,0.00 ,0.00 
15385,東蒲原郡阿賀町,57.14 ,14.29 
15405,三島郡出雲崎町,0.00 ,0.00 
15461,南魚沼郡湯沢町,60.00 ,40.00 
15482,中魚沼郡津南町,80.00 ,0.00 
15504,刈羽郡刈羽村,0.00 ,0.00 
15581,岩船郡関川村,0.00 ,0.00 
15586,岩船郡粟島浦村,100.00 ,100.00 
16201,富山市,3.08 ,3.08 
16202,高岡市,7.41 ,3.70 
16204,魚津市,8.33 ,0.00 
16205,氷見市,25.00 ,0.00 
16206,滑川市,0.00 ,0.00 
16207,黒部市,9.09 ,0.00 
16208,砺波市,0.00 ,0.00 
16209,小矢部市,0.00 ,0.00 
16210,南砺市,40.00 ,10.00 
16211,射水市,0.00 ,0.00 
16321,中新川郡舟橋村,0.00 ,0.00 
16322,中新川郡上市町,16.67 ,0.00 
16323,中新川郡立山町,12.50 ,12.50 
16342,下新川郡入善町,0.00 ,0.00 
16343,下新川郡朝日町,0.00 ,0.00 
17201,金沢市,11.67 ,8.33 
17202,七尾市,23.08 ,0.00 
17203,小松市,8.00 ,0.00 
17204,輪島市,50.00 ,10.00 
17205,珠洲市,77.78 ,11.11 
17206,加賀市,28.57 ,9.52 
17207,羽咋市,0.00 ,0.00 
17209,かほく市,0.00 ,0.00 
17210,白山市,5.26 ,0.00 
17211,能美市,0.00 ,0.00 
17212,野々市市,0.00 ,0.00 
17324,能美郡川北町,0.00 ,0.00 
17361,河北郡津幡町,22.22 ,11.11 
17365,河北郡内灘町,16.67 ,16.67 
17384,羽咋郡志賀町,25.00 ,0.00 
17386,羽咋郡宝達志水町,0.00 ,0.00 
17407,鹿島郡中能登町,0.00 ,0.00 
17461,鳳珠郡穴水町,0.00 ,0.00 
17463,鳳珠郡能登町,40.00 ,0.00 
18201,福井市,10.00 ,4.00 
18202,敦賀市,26.67 ,26.67 
18204,小浜市,16.67 ,0.00 
18205,大野市,40.00 ,10.00 
18206,勝山市,33.33 ,11.11 
18207,鯖江市,0.00 ,0.00 
18208,あわら市,40.00 ,20.00 
18209,越前市,5.88 ,5.88 
18210,坂井市,0.00 ,0.00 
18322,吉田郡永平寺町,14.29 ,0.00 
18382,今立郡池田町,0.00 ,0.00 
18404,南条郡南越前町,0.00 ,0.00 
18423,丹生郡越前町,12.50 ,0.00 
18442,三方郡美浜町,57.14 ,42.86 
18481,大飯郡高浜町,25.00 ,25.00 
18483,大飯郡おおい町,0.00 ,0.00 
18501,三方上中郡若狭町,36.36 ,18.18 
19201,甲府市,11.11 ,11.11 
19202,富士吉田市,0.00 ,0.00 
19204,都留市,0.00 ,0.00 
19205,山梨市,36.36 ,9.09 
19206,大月市,14.29 ,0.00 
19207,韮崎市,0.00 ,0.00 
19208,南アルプス市,6.67 ,6.67 
19209,北杜市,0.00 ,0.00 
19210,甲斐市,0.00 ,0.00 
19211,笛吹市,7.14 ,7.14 
19212,上野原市,40.00 ,20.00 
19213,甲州市,23.08 ,7.69 
19214,中央市,14.29 ,14.29 
19346,西八代郡市川三郷町,33.33 ,16.67 
19364,南巨摩郡早川町,100.00 ,100.00 
19365,南巨摩郡身延町,85.71 ,0.00 
19366,南巨摩郡南部町,50.00 ,0.00 
19368,南巨摩郡富士川町,60.00 ,60.00 
19384,中巨摩郡昭和町,0.00 ,0.00 
19422,南都留郡道志村,0.00 ,0.00 
19423,南都留郡西桂町,0.00 ,0.00 
19424,南都留郡忍野村,0.00 ,0.00 
19425,南都留郡山中湖村,0.00 ,0.00 
19429,南都留郡鳴沢村,0.00 ,0.00 
19430,南都留郡富士河口湖町,25.00 ,0.00 
19442,北都留郡小菅村,100.00 ,100.00 
19443,北都留郡丹波山村,100.00 ,100.00 
20201,長野市,9.09 ,3.64 
20202,松本市,13.79 ,6.90 
20203,上田市,4.00 ,0.00 
20204,岡谷市,0.00 ,0.00 
20205,飯田市,15.79 ,10.53 
20206,諏訪市,0.00 ,0.00 
20207,須坂市,0.00 ,0.00 
20208,小諸市,0.00 ,0.00 
20209,伊那市,6.67 ,0.00 
20210,駒ヶ根市,0.00 ,0.00 
20211,中野市,0.00 ,0.00 
20212,大町市,33.33 ,0.00 
20213,飯山市,12.50 ,12.50 
20214,茅野市,0.00 ,0.00 
20215,塩尻市,0.00 ,0.00 
20217,佐久市,0.00 ,0.00 
20218,千曲市,0.00 ,0.00 
20219,東御市,0.00 ,0.00 
20220,安曇野市,0.00 ,0.00 
20303,南佐久郡小海町,0.00 ,0.00 
20304,南佐久郡川上村,0.00 ,0.00 
20305,南佐久郡南牧村,0.00 ,0.00 
20306,南佐久郡南相木村,100.00 ,0.00 
20307,南佐久郡北相木村,100.00 ,0.00 
20309,南佐久郡佐久穂町,0.00 ,0.00 
20321,北佐久郡軽井沢町,0.00 ,0.00 
20323,北佐久郡御代田町,0.00 ,0.00 
20324,北佐久郡立科町,0.00 ,0.00 
20349,小県郡青木村,0.00 ,0.00 
20350,小県郡長和町,0.00 ,0.00 
20361,諏訪郡下諏訪町,0.00 ,0.00 
20362,諏訪郡富士見町,0.00 ,0.00 
20363,諏訪郡原村,0.00 ,0.00 
20382,上伊那郡辰野町,20.00 ,20.00 
20383,上伊那郡箕輪町,0.00 ,0.00 
20384,上伊那郡飯島町,0.00 ,0.00 
20385,上伊那郡南箕輪村,0.00 ,0.00 
20386,上伊那郡中川村,0.00 ,0.00 
20388,上伊那郡宮田村,0.00 ,0.00 
20402,下伊那郡松川町,33.33 ,33.33 
20403,下伊那郡高森町,0.00 ,0.00 
20404,下伊那郡阿南町,25.00 ,25.00 
20407,下伊那郡阿智村,60.00 ,0.00 
20409,下伊那郡平谷村,100.00 ,100.00 
20410,下伊那郡根羽村,100.00 ,0.00 
20411,下伊那郡下條村,0.00 ,0.00 
20412,下伊那郡売木村,100.00 ,100.00 
20413,下伊那郡天龍村,100.00 ,0.00 
20414,下伊那郡泰阜村,0.00 ,0.00 
20415,下伊那郡喬木村,0.00 ,0.00 
20416,下伊那郡豊丘村,0.00 ,0.00 
20417,下伊那郡大鹿村,100.00 ,0.00 
20422,木曽郡上松町,0.00 ,0.00 
20423,木曽郡南木曽町,0.00 ,0.00 
20425,木曽郡木祖村,0.00 ,0.00 
20429,木曽郡王滝村,100.00 ,100.00 
20430,木曽郡大桑村,0.00 ,0.00 
20432,木曽郡木曽町,25.00 ,0.00 
20446,東筑摩郡麻績村,0.00 ,0.00 
20448,東筑摩郡生坂村,0.00 ,0.00 
20450,東筑摩郡山形村,0.00 ,0.00 
20451,東筑摩郡朝日村,0.00 ,0.00 
20452,東筑摩郡筑北村,100.00 ,0.00 
20481,北安曇郡池田町,0.00 ,0.00 
20482,北安曇郡松川村,0.00 ,0.00 
20485,北安曇郡白馬村,0.00 ,0.00 
20486,北安曇郡小谷村,0.00 ,0.00 
20521,埴科郡坂城町,0.00 ,0.00 
20541,上高井郡小布施町,0.00 ,0.00 
20543,上高井郡高山村,0.00 ,0.00 
20561,下高井郡山ノ内町,25.00 ,0.00 
20562,下高井郡木島平村,0.00 ,0.00 
20563,下高井郡野沢温泉村,0.00 ,0.00 
20583,上水内郡信濃町,0.00 ,0.00 
20588,上水内郡小川村,0.00 ,0.00 
20590,上水内郡飯綱町,25.00 ,0.00 
20602,下水内郡栄村,50.00 ,50.00 
21201,岐阜市,0.00 ,0.00 
21202,大垣市,4.55 ,0.00 
21203,高山市,5.26 ,5.26 
21204,多治見市,0.00 ,0.00 
21205,関市,10.53 ,10.53 
21206,中津川市,15.79 ,0.00 
21207,美濃市,0.00 ,0.00 
21208,瑞浪市,0.00 ,0.00 
21209,羽島市,0.00 ,0.00 
21210,恵那市,20.00 ,6.67 
21211,美濃加茂市,11.11 ,11.11 
21212,土岐市,11.11 ,0.00 
21213,各務原市,0.00 ,0.00 
21214,可児市,0.00 ,0.00 
21215,山県市,11.11 ,0.00 
21216,瑞穂市,0.00 ,0.00 
21217,飛騨市,50.00 ,33.33 
21218,本巣市,12.50 ,0.00 
21219,郡上市,22.73 ,13.64 
21220,下呂市,38.46 ,0.00 
21221,海津市,0.00 ,0.00 
21302,羽島郡岐南町,0.00 ,0.00 
21303,羽島郡笠松町,0.00 ,0.00 
21341,養老郡養老町,0.00 ,0.00 
21361,不破郡垂井町,0.00 ,0.00 
21362,不破郡関ケ原町,50.00 ,0.00 
21381,安八郡神戸町,0.00 ,0.00 
21382,安八郡輪之内町,0.00 ,0.00 
21383,安八郡安八町,0.00 ,0.00 
21401,揖斐郡揖斐川町,33.33 ,22.22 
21403,揖斐郡大野町,0.00 ,0.00 
21404,揖斐郡池田町,0.00 ,0.00 
21421,本巣郡北方町,0.00 ,0.00 
21501,加茂郡坂祝町,0.00 ,0.00 
21502,加茂郡富加町,0.00 ,0.00 
21503,加茂郡川辺町,0.00 ,0.00 
21504,加茂郡七宗町,0.00 ,0.00 
21505,加茂郡八百津町,40.00 ,20.00 
21506,加茂郡白川町,60.00 ,0.00 
21507,加茂郡東白川村,0.00 ,0.00 
21521,可児郡御嵩町,0.00 ,0.00 
21604,大野郡白川村,0.00 ,0.00 
22103,静岡市,19.77 ,10.47 
22137,浜松市,9.62 ,8.65 
22203,沼津市,0.00 ,0.00 
22205,熱海市,50.00 ,12.50 
22206,三島市,0.00 ,0.00 
22207,富士宮市,13.64 ,9.09 
22208,伊東市,0.00 ,0.00 
22209,島田市,11.11 ,5.56 
22210,富士市,0.00 ,0.00 
22211,磐田市,4.35 ,0.00 
22212,焼津市,0.00 ,0.00 
22213,掛川市,0.00 ,0.00 
22214,藤枝市,0.00 ,0.00 
22215,御殿場市,9.09 ,9.09 
22216,袋井市,0.00 ,0.00 
22219,下田市,0.00 ,0.00 
22220,裾野市,0.00 ,0.00 
22221,湖西市,0.00 ,0.00 
22222,伊豆市,0.00 ,0.00 
22223,御前崎市,0.00 ,0.00 
22224,菊川市,0.00 ,0.00 
22225,伊豆の国市,0.00 ,0.00 
22226,牧之原市,10.00 ,10.00 
22301,賀茂郡東伊豆町,33.33 ,33.33 
22302,賀茂郡河津町,0.00 ,0.00 
22304,賀茂郡南伊豆町,50.00 ,25.00 
22305,賀茂郡松崎町,0.00 ,0.00 
22306,賀茂郡西伊豆町,33.33 ,0.00 
22325,田方郡函南町,0.00 ,0.00 
22341,駿東郡清水町,0.00 ,0.00 
22342,駿東郡長泉町,0.00 ,0.00 
22344,駿東郡小山町,0.00 ,0.00 
22424,榛原郡吉田町,0.00 ,0.00 
22429,榛原郡川根本町,100.00 ,0.00 
22461,周智郡森町,20.00 ,20.00 
23116,名古屋市,0.38 ,0.38 
23201,豊橋市,0.00 ,0.00 
23202,岡崎市,4.26 ,2.13 
23203,一宮市,0.00 ,0.00 
23204,瀬戸市,5.00 ,5.00 
23205,半田市,7.14 ,7.14 
23206,春日井市,0.00 ,0.00 
23207,豊川市,0.00 ,0.00 
23208,津島市,0.00 ,0.00 
23209,碧南市,0.00 ,0.00 
23210,刈谷市,0.00 ,0.00 
23211,豊田市,13.51 ,8.11 
23212,安城市,0.00 ,0.00 
23213,西尾市,3.85 ,3.85 
23214,蒲郡市,0.00 ,0.00 
23215,犬山市,20.00 ,10.00 
23216,常滑市,0.00 ,0.00 
23217,江南市,0.00 ,0.00 
23219,小牧市,0.00 ,0.00 
23220,稲沢市,0.00 ,0.00 
23221,新城市,41.18 ,35.29 
23222,東海市,0.00 ,0.00 
23223,大府市,0.00 ,0.00 
23224,知多市,0.00 ,0.00 
23225,知立市,0.00 ,0.00 
23226,尾張旭市,0.00 ,0.00 
23227,高浜市,0.00 ,0.00 
23228,岩倉市,0.00 ,0.00 
23229,豊明市,0.00 ,0.00 
23230,日進市,10.00 ,10.00 
23231,田原市,5.00 ,0.00 
23232,愛西市,7.69 ,7.69 
23233,清須市,0.00 ,0.00 
23234,北名古屋市,0.00 ,0.00 
23235,弥富市,0.00 ,0.00 
23236,みよし市,0.00 ,0.00 
23237,あま市,0.00 ,0.00 
23238,長久手市,0.00 ,0.00 
23302,愛知郡東郷町,0.00 ,0.00 
23342,西春日井郡豊山町,0.00 ,0.00 
23361,丹羽郡大口町,0.00 ,0.00 
23362,丹羽郡扶桑町,0.00 ,0.00 
23424,海部郡大治町,0.00 ,0.00 
23425,海部郡蟹江町,0.00 ,0.00 
23427,海部郡飛島村,0.00 ,0.00 
23441,知多郡阿久比町,0.00 ,0.00 
23442,知多郡東浦町,0.00 ,0.00 
23445,知多郡南知多町,0.00 ,0.00 
23446,知多郡美浜町,0.00 ,0.00 
23447,知多郡武豊町,0.00 ,0.00 
23501,額田郡幸田町,0.00 ,0.00 
23561,北設楽郡設楽町,100.00 ,40.00 
23562,北設楽郡東栄町,0.00 ,0.00 
23563,北設楽郡豊根村,100.00 ,50.00 
24201,津市,7.27 ,3.64 
24202,四日市市,0.00 ,0.00 
24203,伊勢市,0.00 ,0.00 
24204,松阪市,2.78 ,0.00 
24205,桑名市,3.57 ,3.57 
24207,鈴鹿市,0.00 ,0.00 
24208,名張市,11.76 ,5.88 
24209,尾鷲市,57.14 ,42.86 
24210,亀山市,0.00 ,0.00 
24211,鳥羽市,44.44 ,33.33 
24212,熊野市,55.56 ,22.22 
24214,いなべ市,6.67 ,0.00 
24215,志摩市,57.89 ,21.05 
24216,伊賀市,12.00 ,4.00 
24303,桑名郡木曽岬町,0.00 ,0.00 
24324,員弁郡東員町,0.00 ,0.00 
24341,三重郡菰野町,0.00 ,0.00 
24343,三重郡朝日町,0.00 ,0.00 
24344,三重郡川越町,0.00 ,0.00 
24441,多気郡多気町,0.00 ,0.00 
24442,多気郡明和町,0.00 ,0.00 
24443,多気郡大台町,0.00 ,0.00 
24461,度会郡玉城町,0.00 ,0.00 
24470,度会郡度会町,0.00 ,0.00 
24471,度会郡大紀町,25.00 ,0.00 
24472,度会郡南伊勢町,66.67 ,16.67 
24543,北牟婁郡紀北町,72.73 ,45.45 
24561,南牟婁郡御浜町,50.00 ,25.00 
24562,南牟婁郡紀宝町,20.00 ,0.00 
25201,大津市,2.70 ,2.70 
25202,彦根市,0.00 ,0.00 
25203,長浜市,3.57 ,3.57 
25204,近江八幡市,8.33 ,8.33 
25206,草津市,0.00 ,0.00 
25207,守山市,0.00 ,0.00 
25208,栗東市,0.00 ,0.00 
25209,甲賀市,17.39 ,13.04 
25210,野洲市,0.00 ,0.00 
25211,湖南市,0.00 ,0.00 
25212,高島市,25.00 ,18.75 
25213,東近江市,0.00 ,0.00 
25214,米原市,0.00 ,0.00 
25383,蒲生郡日野町,0.00 ,0.00 
25384,蒲生郡竜王町,0.00 ,0.00 
25425,愛知郡愛荘町,0.00 ,0.00 
25441,犬上郡豊郷町,0.00 ,0.00 
25442,犬上郡甲良町,0.00 ,0.00 
25443,犬上郡多賀町,0.00 ,0.00 
26111,京都市,2.38 ,2.38 
26201,福知山市,37.50 ,16.67 
26202,舞鶴市,0.00 ,0.00 
26203,綾部市,20.00 ,0.00 
26204,宇治市,9.09 ,9.09 
26205,宮津市,42.86 ,28.57 
26206,亀岡市,11.11 ,11.11 
26207,城陽市,0.00 ,0.00 
26208,向日市,0.00 ,0.00 
26209,長岡京市,0.00 ,0.00 
26210,八幡市,0.00 ,0.00 
26211,京田辺市,0.00 ,0.00 
26212,京丹後市,30.77 ,3.85 
26213,南丹市,64.71 ,23.53 
26214,木津川市,7.69 ,7.69 
26303,乙訓郡大山崎町,0.00 ,0.00 
26322,久世郡久御山町,0.00 ,0.00 
26343,綴喜郡井手町,0.00 ,0.00 
26344,綴喜郡宇治田原町,0.00 ,0.00 
26364,相楽郡笠置町,100.00 ,0.00 
26365,相楽郡和束町,0.00 ,0.00 
26366,相楽郡精華町,0.00 ,0.00 
26367,相楽郡南山城村,100.00 ,0.00 
26407,船井郡京丹波町,20.00 ,0.00 
26463,与謝郡伊根町,100.00 ,50.00 
26465,与謝郡与謝野町,11.11 ,0.00 
27128,大阪市,1.00 ,0.66 
27147,堺市,0.00 ,0.00 
27202,岸和田市,0.00 ,0.00 
27203,豊中市,0.00 ,0.00 
27204,池田市,0.00 ,0.00 
27205,吹田市,0.00 ,0.00 
27206,泉大津市,0.00 ,0.00 
27207,高槻市,2.38 ,2.38 
27208,貝塚市,0.00 ,0.00 
27209,守口市,0.00 ,0.00 
27210,枚方市,0.00 ,0.00 
27211,茨木市,6.25 ,6.25 
27212,八尾市,0.00 ,0.00 
27213,泉佐野市,0.00 ,0.00 
27214,富田林市,0.00 ,0.00 
27215,寝屋川市,0.00 ,0.00 
27216,河内長野市,0.00 ,0.00 
27217,松原市,0.00 ,0.00 
27218,大東市,0.00 ,0.00 
27219,和泉市,0.00 ,0.00 
27220,箕面市,0.00 ,0.00 
27221,柏原市,23.08 ,23.08 
27222,羽曳野市,0.00 ,0.00 
27223,門真市,0.00 ,0.00 
27224,摂津市,0.00 ,0.00 
27225,高石市,0.00 ,0.00 
27226,藤井寺市,0.00 ,0.00 
27227,東大阪市,0.00 ,0.00 
27228,泉南市,0.00 ,0.00 
27229,四條畷市,0.00 ,0.00 
27230,交野市,0.00 ,0.00 
27231,大阪狭山市,0.00 ,0.00 
27232,阪南市,9.09 ,9.09 
27301,三島郡島本町,0.00 ,0.00 
27321,豊能郡豊能町,0.00 ,0.00 
27322,豊能郡能勢町,66.67 ,33.33 
27341,泉北郡忠岡町,0.00 ,0.00 
27361,泉南郡熊取町,0.00 ,0.00 
27362,泉南郡田尻町,0.00 ,0.00 
27366,泉南郡岬町,0.00 ,0.00 
27381,南河内郡太子町,0.00 ,0.00 
27382,南河内郡河南町,0.00 ,0.00 
27383,南河内郡千早赤阪村,0.00 ,0.00 
28111,神戸市,3.01 ,0.60 
28201,姫路市,1.45 ,0.00 
28202,尼崎市,0.00 ,0.00 
28203,明石市,0.00 ,0.00 
28204,西宮市,0.00 ,0.00 
28205,洲本市,15.38 ,0.00 
28206,芦屋市,0.00 ,0.00 
28207,伊丹市,0.00 ,0.00 
28208,相生市,14.29 ,0.00 
28209,豊岡市,17.24 ,10.34 
28210,加古川市,0.00 ,0.00 
28212,赤穂市,0.00 ,0.00 
28213,西脇市,12.50 ,12.50 
28214,宝塚市,0.00 ,0.00 
28215,三木市,18.75 ,0.00 
28216,高砂市,0.00 ,0.00 
28217,川西市,0.00 ,0.00 
28218,小野市,0.00 ,0.00 
28219,三田市,5.00 ,5.00 
28220,加西市,0.00 ,0.00 
28221,篠山市,25.00 ,6.25 
28222,養父市,22.22 ,0.00 
28223,丹波市,4.00 ,0.00 
28224,南あわじ市,23.53 ,17.65 
28225,朝来市,0.00 ,0.00 
28226,淡路市,26.32 ,0.00 
28227,宍粟市,33.33 ,11.11 
28228,加東市,11.11 ,11.11 
28229,たつの市,5.56 ,0.00 
28301,川辺郡猪名川町,0.00 ,0.00 
28365,多可郡多可町,0.00 ,0.00 
28381,加古郡稲美町,0.00 ,0.00 
28382,加古郡播磨町,0.00 ,0.00 
28442,神崎郡市川町,0.00 ,0.00 
28443,神崎郡福崎町,0.00 ,0.00 
28446,神崎郡神河町,50.00 ,0.00 
28464,揖保郡太子町,0.00 ,0.00 
28481,赤穂郡上郡町,0.00 ,0.00 
28501,佐用郡佐用町,60.00 ,0.00 
28585,美方郡香美町,63.64 ,18.18 
28586,美方郡新温泉町,33.33 ,0.00 
29201,奈良市,8.51 ,2.13 
29202,大和高田市,0.00 ,0.00 
29203,大和郡山市,0.00 ,0.00 
29204,天理市,0.00 ,0.00 
29205,橿原市,0.00 ,0.00 
29206,桜井市,0.00 ,0.00 
29207,五條市,22.22 ,11.11 
